,drugName,rating
0,Mirtazapine,10
38,Escitalopram,9
67,Zoloft,1
73,Effexor XR,1
79,Venlafaxine,8
81,Venlafaxine,1
112,Bupropion,4
122,Bupropion,5
130,Zoloft,2
135,Escitalopram,10
149,Effexor XR,10
155,Desvenlafaxine,3
169,Sertraline,3
174,Pristiq,7
201,Vilazodone,10
203,Bupropion,10
205,Lexapro,10
223,Venlafaxine,1
235,Zoloft,1
240,Desvenlafaxine,7
267,Viibryd,10
275,Serzone,10
277,Zoloft,4
306,Lexapro,8
308,Trintellix,9
318,Bupropion,10
366,Mirtazapine,10
375,Citalopram,1
403,Budeprion SR,8
405,Desvenlafaxine,5
455,Tramadol,10
467,Wellbutrin,9
472,Fetzima,10
477,Bupropion,9
489,Viibryd,10
491,Xanax,10
539,Viibryd,2
590,Citalopram,9
592,Duloxetine,8
597,Wellbutrin,10
608,Celexa,10
614,Sertraline,6
658,Zoloft,9
688,Sertraline,9
700,Zoloft,10
734,Celexa,9
742,Mirtazapine,7
782,Zoloft,9
798,Venlafaxine,6
805,Celexa,8
810,Venlafaxine,9
811,Desvenlafaxine,1
818,Wellbutrin,2
825,Pristiq,8
842,Wellbutrin,9
864,Cymbalta,7
900,Bupropion,10
915,Viibryd,10
922,Doxepin,1
930,Nuvigil,2
931,Vortioxetine,1
939,Desvenlafaxine,9
952,Cymbalta,10
953,Risperidone,10
957,Citalopram,3
965,Bupropion,10
1007,Bupropion,1
1010,Paroxetine,10
1013,Luvox,1
1128,Duloxetine,8
1152,Vortioxetine,4
1175,Pristiq,9
1176,Pristiq,10
1180,Tramadol,10
1206,Niacin,10
1260,Citalopram,8
1269,Duloxetine,1
1287,Fluoxetine,8
1306,Sertraline,10
1354,Bupropion,2
1367,Bupropion,5
1413,Deplin,1
1415,Effexor,7
1433,Wellbutrin,1
1436,Paxil,9
1441,Emsam,8
1458,Sertraline,9
1461,Effexor XR,9
1464,Fluoxetine,9
1468,Vilazodone,10
1482,Pamelor,8
1502,Desvenlafaxine,7
1522,Viibryd,1
1543,Zoloft,1
1578,Seroquel,10
1582,Abilify,2
1590,Venlafaxine,5
1604,Desvenlafaxine,8
1615,Desvenlafaxine,6
1623,Escitalopram,9
1632,Venlafaxine,1
1644,Citalopram,8
1678,Desvenlafaxine,2
1695,Fluoxetine,3
1704,Trintellix,2
1709,Duloxetine,9
1723,Desvenlafaxine,9
1734,Effexor XR,2
1736,Venlafaxine,6
